image,map,fixation
COCO_train2014_000000000009.jpg,COCO_train2014_000000000009.png,COCO_train2014_000000000009.bmp
COCO_train2014_000000000089.jpg,COCO_train2014_000000000089.png,COCO_train2014_000000000089.bmp
COCO_train2014_000000000110.jpg,COCO_train2014_000000000110.png,COCO_train2014_000000000110.bmp
COCO_train2014_000000000307.jpg,COCO_train2014_000000000307.png,COCO_train2014_000000000307.bmp
COCO_train2014_000000000321.jpg,COCO_train2014_000000000321.png,COCO_train2014_000000000321.bmp
COCO_train2014_000000000332.jpg,COCO_train2014_000000000332.png,COCO_train2014_000000000332.bmp
COCO_train2014_000000000349.jpg,COCO_train2014_000000000349.png,COCO_train2014_000000000349.bmp
COCO_train2014_000000000382.jpg,COCO_train2014_000000000382.png,COCO_train2014_000000000382.bmp
COCO_train2014_000000000389.jpg,COCO_train2014_000000000389.png,COCO_train2014_000000000389.bmp
COCO_train2014_000000000419.jpg,COCO_train2014_000000000419.png,COCO_train2014_000000000419.bmp
COCO_train2014_000000000443.jpg,COCO_train2014_000000000443.png,COCO_train2014_000000000443.bmp
COCO_train2014_000000000450.jpg,COCO_train2014_000000000450.png,COCO_train2014_000000000450.bmp
COCO_train2014_000000000508.jpg,COCO_train2014_000000000508.png,COCO_train2014_000000000508.bmp
COCO_train2014_000000000510.jpg,COCO_train2014_000000000510.png,COCO_train2014_000000000510.bmp
COCO_train2014_000000000531.jpg,COCO_train2014_000000000531.png,COCO_train2014_000000000531.bmp
COCO_train2014_000000000532.jpg,COCO_train2014_000000000532.png,COCO_train2014_000000000532.bmp
COCO_train2014_000000000605.jpg,COCO_train2014_000000000605.png,COCO_train2014_000000000605.bmp
COCO_train2014_000000000716.jpg,COCO_train2014_000000000716.png,COCO_train2014_000000000716.bmp
COCO_train2014_000000000731.jpg,COCO_train2014_000000000731.png,COCO_train2014_000000000731.bmp
COCO_train2014_000000000853.jpg,COCO_train2014_000000000853.png,COCO_train2014_000000000853.bmp
COCO_train2014_000000000965.jpg,COCO_train2014_000000000965.png,COCO_train2014_000000000965.bmp
COCO_train2014_000000001011.jpg,COCO_train2014_000000001011.png,COCO_train2014_000000001011.bmp
COCO_train2014_000000001014.jpg,COCO_train2014_000000001014.png,COCO_train2014_000000001014.bmp
COCO_train2014_000000001144.jpg,COCO_train2014_000000001144.png,COCO_train2014_000000001144.bmp
COCO_train2014_000000001145.jpg,COCO_train2014_000000001145.png,COCO_train2014_000000001145.bmp
COCO_train2014_000000001261.jpg,COCO_train2014_000000001261.png,COCO_train2014_000000001261.bmp
COCO_train2014_000000001264.jpg,COCO_train2014_000000001264.png,COCO_train2014_000000001264.bmp
COCO_train2014_000000001355.jpg,COCO_train2014_000000001355.png,COCO_train2014_000000001355.bmp
COCO_train2014_000000001386.jpg,COCO_train2014_000000001386.png,COCO_train2014_000000001386.bmp
COCO_train2014_000000001403.jpg,COCO_train2014_000000001403.png,COCO_train2014_000000001403.bmp
COCO_train2014_000000001424.jpg,COCO_train2014_000000001424.png,COCO_train2014_000000001424.bmp
COCO_train2014_000000001510.jpg,COCO_train2014_000000001510.png,COCO_train2014_000000001510.bmp
COCO_train2014_000000001518.jpg,COCO_train2014_000000001518.png,COCO_train2014_000000001518.bmp
COCO_train2014_000000001523.jpg,COCO_train2014_000000001523.png,COCO_train2014_000000001523.bmp
COCO_train2014_000000001536.jpg,COCO_train2014_000000001536.png,COCO_train2014_000000001536.bmp
COCO_train2014_000000001558.jpg,COCO_train2014_000000001558.png,COCO_train2014_000000001558.bmp
COCO_train2014_000000001670.jpg,COCO_train2014_000000001670.png,COCO_train2014_000000001670.bmp
COCO_train2014_000000001756.jpg,COCO_train2014_000000001756.png,COCO_train2014_000000001756.bmp
COCO_train2014_000000001785.jpg,COCO_train2014_000000001785.png,COCO_train2014_000000001785.bmp
COCO_train2014_000000001804.jpg,COCO_train2014_000000001804.png,COCO_train2014_000000001804.bmp
COCO_train2014_000000001822.jpg,COCO_train2014_000000001822.png,COCO_train2014_000000001822.bmp
COCO_train2014_000000001926.jpg,COCO_train2014_000000001926.png,COCO_train2014_000000001926.bmp
